segment,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305
complex_projects,10,0,0,0,16,16,0,9,0,8,0,7,0,4,8,0,5,0,16,0,14,0,8,0,0,8,0,0,6,13,0,0,7,0,0,1,11,11,0,0,11,12,0,9,3,12,8,0,14,12,0,0,15,0,9,0,14,8,0,14,0,10,9,0,16,0,0,8,0,12,0,12,1,12,0,11,0,11,0,4,7,0,10,1,14,0,9,0,4,10,0,9,12,0,0,10,14,0,9,0,0,7,0,0,7,13,0,1,10,0,12,15,0,1,13,0,0,13,0,7,12,0,0,7,0,0,11,0,9,0,1,0,10,1,13,11,1,0,13,0,11,0,10,0,8,0,7,7,7,6,0,0,0,10,16,0,15,0,9,0,0,5,10,0,11,0,0,15,9,0,1,15,0,20,0,14,0,8,12,0,0,15,11,0,18,0,6,17,0,6,13,0,10,0,13,0,15,0,13,0,1,17,1,0,1,10,13,0,11,0,11,0,11,1,5,0,13,0,0,15,0,10,0,12,0,9,0,12,0,0,15,5,0,12,7,3,2,7,11,0,0,9,0,11,0,6,13,0,10,16,0,0,0,10,0,0,7,0,5,0,6,0,17,0,0,4,12,1,19,8,3,6,0,13,14,0,0,17,0,9,11,0,13,0,9,0,14,6,5,5,11,7,0,8,0,0,10,0,8,0,4,0,7,0,10,0,13
critical_incidents,23,0,0,0,18,12,0,9,0,11,1,13,0,12,0,0,16,0,11,0,11,0,11,0,0,12,0,0,10,7,0,0,15,0,0,0,13,11,0,0,10,11,0,12,0,13,7,0,11,12,0,0,9,0,14,0,13,21,0,9,0,11,7,0,7,0,0,9,0,13,0,11,0,4,0,9,0,13,0,12,9,0,9,0,5,0,11,0,12,1,0,8,16,0,0,18,13,0,13,0,0,15,0,0,15,12,0,0,7,0,18,25,0,0,15,0,0,15,0,13,16,0,0,13,0,0,13,0,15,20,0,0,13,0,15,8,0,0,15,0,16,0,14,0,14,0,8,9,0,5,0,0,0,8,10,0,8,0,9,0,0,12,10,0,12,0,0,17,15,0,0,8,0,8,0,10,0,13,11,0,0,7,19,0,10,0,13,8,0,11,13,0,11,0,4,0,15,0,12,0,0,15,0,0,0,9,10,0,14,0,11,0,16,0,19,0,12,0,0,6,0,10,0,13,0,11,0,18,0,0,10,12,0,11,4,14,0,14,11,0,0,12,0,10,0,8,17,0,13,10,0,0,0,12,1,0,9,0,7,0,9,0,12,0,0,11,10,0,14,7,12,1,0,13,16,0,0,11,0,8,12,0,18,0,16,0,18,12,1,11,0,10,0,13,0,0,14,0,5,0,10,0,9,0,5,0,5
high_volume,33,0,0,0,12,13,0,12,0,17,0,4,15,0,12,0,12,0,14,1,12,0,17,1,0,18,1,0,22,15,0,1,18,0,4,12,2,8,0,0,20,11,1,20,13,0,26,1,16,12,2,0,16,0,13,1,11,18,1,11,0,18,21,0,17,0,2,16,0,16,0,18,0,22,1,12,0,18,0,17,16,0,14,0,14,0,21,0,0,17,0,15,13,2,1,20,17,0,12,0,2,10,0,1,14,14,0,2,19,0,17,9,1,0,21,1,0,20,0,24,21,0,1,19,1,0,11,0,17,0,17,1,6,0,15,11,2,1,15,1,10,2,14,1,15,0,15,1,18,14,0,0,0,22,24,0,18,0,12,0,3,8,14,1,23,0,1,14,15,0,0,12,1,24,0,16,0,16,12,1,0,24,14,1,16,0,20,11,1,13,19,1,10,0,16,0,18,0,9,0,1,19,0,0,0,19,14,0,15,0,20,0,22,0,13,0,9,0,0,21,0,17,0,18,0,18,0,17,0,0,15,20,1,15,19,0,0,11,24,0,1,20,0,20,0,16,14,0,20,14,0,0,0,23,0,1,17,0,18,0,21,0,22,0,1,14,18,0,12,18,0,16,0,15,21,0,2,21,0,18,16,0,5,0,21,0,12,0,11,2,19,15,1,11,0,0,12,1,9,2,18,0,14,0,19,1,23
risk_anomaly,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
stable,5,21,16,26,0,0,22,0,24,0,25,0,0,0,0,26,0,34,0,17,0,29,0,23,21,0,29,20,0,0,24,23,0,30,30,22,0,0,24,22,0,0,33,0,0,0,13,17,0,0,23,21,0,23,0,31,0,0,16,0,21,0,1,19,0,26,18,0,16,0,20,0,38,0,30,0,21,0,27,0,0,25,0,30,0,22,0,25,0,0,22,0,16,26,21,0,0,19,1,22,29,0,22,28,0,0,30,25,0,19,0,0,23,28,0,20,20,0,18,0,0,24,32,0,26,20,0,26,0,0,0,26,0,24,0,0,30,17,0,24,0,14,0,25,0,32,0,0,0,1,35,15,25,0,13,25,0,24,0,27,34,0,0,24,0,17,31,0,0,26,26,0,15,0,21,0,36,0,1,20,24,0,0,25,0,27,0,0,20,0,0,23,0,26,0,25,0,26,0,25,24,0,26,23,27,0,0,32,0,26,0,24,0,26,0,25,0,24,23,0,27,0,23,0,22,0,16,0,26,16,0,0,18,0,0,0,27,0,0,19,21,0,19,1,27,0,0,25,0,0,19,21,22,0,0,27,0,22,0,22,0,30,0,21,29,0,0,24,0,14,0,0,19,0,0,19,25,0,21,0,0,23,11,21,0,23,0,0,0,0,0,0,20,0,24,21,0,21,0,28,0,22,0,23,0,28,0
